K,N,Method,RMSE,Time,d
100,128,Crude MC,0.4079114883767569,0.001078190803527832,64
100,128,Plain RQMC,0.0922129288502239,0.008498573303222656,64
100,128,Pre-Int (z1),0.0719579672259274,0.07034364223480224,64
100,128,Pre-Int (AS),0.0025863611742088554,0.0707695722579956,64
100,256,Crude MC,0.3287311438261938,0.0009397792816162109,64
100,256,Plain RQMC,0.04750189626324416,0.007820734977722168,64
100,256,Pre-Int (z1),0.04400428375174126,0.12270953178405762,64
100,256,Pre-Int (AS),0.0010992149044462068,0.1414271402359009,64
100,512,Crude MC,0.1856242374181567,0.0022910594940185546,64
100,512,Plain RQMC,0.030575321109136435,0.010031142234802247,64
100,512,Pre-Int (z1),0.02661078869632997,0.2285226058959961,64
100,512,Pre-Int (AS),0.0005781451398610053,0.24113669395446777,64
100,1024,Crude MC,0.14204657016414154,0.0032694530487060547,64
100,1024,Plain RQMC,0.02063253474264184,0.012426080703735352,64
100,1024,Pre-Int (z1),0.017399288894565074,0.3852036952972412,64
100,1024,Pre-Int (AS),0.00023320271471438287,0.4250379657745361,64
100,2048,Crude MC,0.1021450187977296,0.007909498214721679,64
100,2048,Plain RQMC,0.012990516387454205,0.022808218002319337,64
100,2048,Pre-Int (z1),0.009400134912991787,0.7057742166519165,64
100,2048,Pre-Int (AS),0.00016022833857846374,0.7533215236663818,64
100,4096,Crude MC,0.08150372499302534,0.016673378944396973,64
100,4096,Plain RQMC,0.008275162378023063,0.036634941101074216,64
100,4096,Pre-Int (z1),0.00820779607433191,1.3257669973373414,64
100,4096,Pre-Int (AS),7.99979663459142e-05,1.4349665594100953,64
100,8192,Crude MC,0.059664824766026046,0.03313790798187256,64
100,8192,Plain RQMC,0.00468660913040727,0.06673405170440674,64
100,8192,Pre-Int (z1),0.004472429814532953,3.3631313943862917,64
100,8192,Pre-Int (AS),3.922797664739722e-05,2.934201965332031,64
120,128,Crude MC,0.03492365925399107,0.0007764482498168945,64
120,128,MC + ODIS,0.002952597916537207,0.0007574892044067383,64
120,128,Plain RQMC,0.02448751587907792,0.007498254776000976,64
120,128,RQMC + ODIS,0.0024180777084753884,0.007395410537719726,64
120,128,Pre-Int (AS),5.205780310161326e-05,0.07428871631622315,64
120,128,Pre-Int (AS) + ODIS,4.65872575080999e-05,0.07416365623474121,64
120,256,Crude MC,0.02268926771954484,0.0010924720764160156,64
120,256,MC + ODIS,0.0019699520359708197,0.0011888408660888671,64
120,256,Plain RQMC,0.021486518647463218,0.008657007217407227,64
120,256,RQMC + ODIS,0.0015879273602101224,0.007096338272094727,64
120,256,Pre-Int (AS),1.8383332220685115e-05,0.14410958290100098,64
120,256,Pre-Int (AS) + ODIS,1.9854975800730542e-05,0.1485967206954956,64
120,512,Crude MC,0.015506815657040313,0.0019866609573364257,64
120,512,MC + ODIS,0.0014484613421423505,0.002336616516113281,64
120,512,Plain RQMC,0.012459218727012092,0.009177870750427246,64
120,512,RQMC + ODIS,0.001440692003855154,0.009298686981201171,64
120,512,Pre-Int (AS),1.2087766674624537e-05,0.252165355682373,64
120,512,Pre-Int (AS) + ODIS,1.0234509088629633e-05,0.2551835870742798,64
120,1024,Crude MC,0.012298473205012256,0.0034561729431152343,64
120,1024,MC + ODIS,0.0009257284219198074,0.004484577178955078,64
120,1024,Plain RQMC,0.00842258633651222,0.013167424201965332,64
120,1024,RQMC + ODIS,0.0007668494529270547,0.01427800178527832,64
120,1024,Pre-Int (AS),5.301753033571705e-06,0.45941064357757566,64
120,1024,Pre-Int (AS) + ODIS,5.150386311084073e-06,0.43279730796813964,64
120,2048,Crude MC,0.008546407385062859,0.008985691070556641,64
120,2048,MC + ODIS,0.0007778879640651911,0.009584369659423829,64
120,2048,Plain RQMC,0.007659610571896168,0.02303893566131592,64
120,2048,RQMC + ODIS,0.0004919134179020786,0.024519219398498535,64
120,2048,Pre-Int (AS),2.936901703242139e-06,0.7777548933029175,64
120,2048,Pre-Int (AS) + ODIS,3.106181017879702e-06,0.7915106201171875,64
120,4096,Crude MC,0.0050780732469744355,0.01702139377593994,64
120,4096,MC + ODIS,0.0004717158483781363,0.021693739891052246,64
120,4096,Plain RQMC,0.004074045317636935,0.04035360336303711,64
120,4096,RQMC + ODIS,0.0004274055747119876,0.04253021240234375,64
120,4096,Pre-Int (AS),1.3442850305734444e-06,1.4843471050262451,64
120,4096,Pre-Int (AS) + ODIS,1.3063415644604449e-06,1.4798659706115722,64
120,8192,Crude MC,0.004535325316990028,0.037218880653381345,64
120,8192,MC + ODIS,0.0003382635362033258,0.04324997425079346,64
120,8192,Plain RQMC,0.0029899147984681664,0.07088722705841065,64
120,8192,RQMC + ODIS,0.0003155995697287042,0.0819668436050415,64
120,8192,Pre-Int (AS),8.410576986366712e-07,2.8377333450317384,64
120,8192,Pre-Int (AS) + ODIS,6.869957011689532e-07,2.839408311843872,64
