K,N,Method,RMSE,Time,d
100,128,Crude MC,0.028320074222009092,0.000865163803100586,128
100,128,Plain RQMC,0.02236290940839561,0.01136176586151123,128
100,128,Pre-Int (z1),0.018980839666790403,0.05040644645690918,128
100,128,Pre-Int (AS),0.00012502937051049923,0.05718545913696289,128
100,256,Crude MC,0.021678591659765937,0.0015787982940673828,128
100,256,Plain RQMC,0.013891802667615567,0.01284766674041748,128
100,256,Pre-Int (z1),0.012753482686315144,0.08964403629302979,128
100,256,Pre-Int (AS),7.515211883573497e-05,0.10574583053588867,128
100,512,Crude MC,0.0182342237364225,0.00304964542388916,128
100,512,Plain RQMC,0.009915741939733188,0.015900864601135253,128
100,512,Pre-Int (z1),0.008800792220762629,0.17663022994995117,128
100,512,Pre-Int (AS),3.6228487013477695e-05,0.20556562423706054,128
100,1024,Crude MC,0.011551941472106593,0.008332810401916503,128
100,1024,Plain RQMC,0.006953480953287921,0.024776248931884765,128
100,1024,Pre-Int (z1),0.005844055740098319,0.30401172161102297,128
100,1024,Pre-Int (AS),2.4879518848788752e-05,0.33138356685638426,128
100,2048,Crude MC,0.009223894694258878,0.015636043548583986,128
100,2048,Plain RQMC,0.004589456974663967,0.037729310989379886,128
100,2048,Pre-Int (z1),0.0037289646707481584,0.5534050369262695,128
100,2048,Pre-Int (AS),1.0442102170827338e-05,0.6151083374023437,128
100,4096,Crude MC,0.005950779927283347,0.029064326286315917,128
100,4096,Plain RQMC,0.0035446116110185674,0.06292626857757569,128
100,4096,Pre-Int (z1),0.002508032403898161,0.9966069078445434,128
100,4096,Pre-Int (AS),6.601712625246558e-06,1.1537638425827026,128
100,8192,Crude MC,0.004278807832535691,0.05873798370361328,128
100,8192,Plain RQMC,0.0025537814915091842,0.11652323246002197,128
100,8192,Pre-Int (z1),0.0019278852290465257,1.926320538520813,128
100,8192,Pre-Int (AS),3.490164436440645e-06,2.226061758995056,128
120,128,Crude MC,0.008254817898948325,0.0008051872253417968,128
120,128,MC + ODIS,0.0017340007280987181,0.001045985221862793,128
120,128,Plain RQMC,0.006830968452585498,0.012581920623779297,128
120,128,RQMC + ODIS,0.0013141822467355835,0.012499680519104004,128
120,128,Pre-Int (AS),1.3377574253464505e-05,0.06295137882232665,128
120,128,Pre-Int (AS) + ODIS,1.7136320140272012e-05,0.06111895561218262,128
120,256,Crude MC,0.006176051396353164,0.0015902090072631835,128
120,256,MC + ODIS,0.0010017828666333529,0.0015787792205810547,128
120,256,Plain RQMC,0.005462338295332596,0.01327500820159912,128
120,256,RQMC + ODIS,0.00109692236569113,0.013585214614868163,128
120,256,Pre-Int (AS),7.746507427974134e-06,0.10994258403778076,128
120,256,Pre-Int (AS) + ODIS,9.272334125903329e-06,0.10919976711273194,128
120,512,Crude MC,0.004390312398858112,0.002995944023132324,128
120,512,MC + ODIS,0.0007045262595821709,0.003159961700439453,128
120,512,Plain RQMC,0.004181100800979487,0.01646054744720459,128
120,512,RQMC + ODIS,0.0007775331085153973,0.0170269775390625,128
120,512,Pre-Int (AS),4.63812043509862e-06,0.2069377374649048,128
120,512,Pre-Int (AS) + ODIS,4.883350605381223e-06,0.20322795391082762,128
120,1024,Crude MC,0.00341559212061595,0.0075695085525512695,128
120,1024,MC + ODIS,0.0005562800406107018,0.00901613712310791,128
120,1024,Plain RQMC,0.002572618007687298,0.024923124313354493,128
120,1024,RQMC + ODIS,0.0006322378233236727,0.0254780912399292,128
120,1024,Pre-Int (AS),2.412883392420433e-06,0.3397971248626709,128
120,1024,Pre-Int (AS) + ODIS,2.4560257330178325e-06,0.34514000892639163,128
120,2048,Crude MC,0.0021039844753895924,0.015354523658752442,128
120,2048,MC + ODIS,0.0003346399070105175,0.01764465808868408,128
120,2048,Plain RQMC,0.001964444627642367,0.037606511116027835,128
120,2048,RQMC + ODIS,0.0003573727559779419,0.039335932731628415,128
120,2048,Pre-Int (AS),1.5211363548698021e-06,0.6191942548751831,128
120,2048,Pre-Int (AS) + ODIS,1.1755517684584447e-06,0.6140389251708984,128
120,4096,Crude MC,0.001739803747662703,0.030840997695922853,128
120,4096,MC + ODIS,0.0002552442700628472,0.033853588104248045,128
120,4096,Plain RQMC,0.0013165503826756805,0.0647144365310669,128
120,4096,RQMC + ODIS,0.00024442273449099873,0.06709805011749267,128
120,4096,Pre-Int (AS),7.309171518521824e-07,1.1490280103683472,128
120,4096,Pre-Int (AS) + ODIS,5.645362066124759e-07,1.0812407636642456,128
120,8192,Crude MC,0.0011155692587619486,0.052320184707641604,128
120,8192,MC + ODIS,0.0001752553613681776,0.05832293033599854,128
120,8192,Plain RQMC,0.0007330573024848027,0.11110014438629151,128
120,8192,RQMC + ODIS,0.00018897550049582008,0.11403018474578858,128
120,8192,Pre-Int (AS),3.730806201580762e-07,2.113941707611084,128
120,8192,Pre-Int (AS) + ODIS,3.098090916017991e-07,2.2448813915252686,128
