K,N,Method,RMSE,Time,d
100,128,Crude MC,0.33928734032169244,0.0014937973022460937,128
100,128,Plain RQMC,0.10420104453926092,0.015003089904785155,128
100,128,Pre-Int (z1),0.1197132339224159,0.08134658813476563,128
100,128,Pre-Int (AS),0.0026314244885776417,0.0888157320022583,128
100,256,Crude MC,0.29213604682986866,0.0021415281295776366,128
100,256,Plain RQMC,0.05046228062306236,0.016480183601379393,128
100,256,Pre-Int (z1),0.06503322463389188,0.14116379737854004,128
100,256,Pre-Int (AS),0.0013241412837999792,0.15860236644744874,128
100,512,Crude MC,0.20251176503123078,0.0041261959075927735,128
100,512,Plain RQMC,0.035524436287609325,0.022189879417419435,128
100,512,Pre-Int (z1),0.03515919079493066,0.24908063411712647,128
100,512,Pre-Int (AS),0.0007520858444370888,0.273235821723938,128
100,1024,Crude MC,0.14188192858997656,0.009788918495178222,128
100,1024,Plain RQMC,0.023619650843548976,0.030417962074279783,128
100,1024,Pre-Int (z1),0.017477337192930483,0.428055739402771,128
100,1024,Pre-Int (AS),0.00044408015273512594,0.46115598201751706,128
100,2048,Crude MC,0.10159179080786623,0.019044365882873535,128
100,2048,Plain RQMC,0.01438623793315501,0.04699609279632568,128
100,2048,Pre-Int (z1),0.012031402169451179,0.7507661008834838,128
100,2048,Pre-Int (AS),0.00020816042167893806,0.8468644905090332,128
100,4096,Crude MC,0.056986165407565605,0.03568280696868897,128
100,4096,Plain RQMC,0.009181836765793564,0.077853102684021,128
100,4096,Pre-Int (z1),0.009497188359992342,1.4162201881408691,128
100,4096,Pre-Int (AS),9.946838558256946e-05,1.5640180206298828,128
100,8192,Crude MC,0.06204479796565495,0.07922078132629394,128
100,8192,Plain RQMC,0.005966321332040901,0.1497046756744385,128
100,8192,Pre-Int (z1),0.005638865903135389,2.7086926031112672,128
100,8192,Pre-Int (AS),6.413671258521872e-05,3.0302468490600587,128
120,128,Crude MC,0.02767749665334298,0.0012612056732177735,128
120,128,MC + ODIS,0.002992063076795343,0.0011689329147338866,128
120,128,Plain RQMC,0.025792430967437798,0.015230741500854492,128
120,128,RQMC + ODIS,0.0025574034331893735,0.01586493968963623,128
120,128,Pre-Int (AS),4.134470400911713e-05,0.08798808574676514,128
120,128,Pre-Int (AS) + ODIS,5.064444388757501e-05,0.09868201732635498,128
120,256,Crude MC,0.02101033122835517,0.0022783470153808594,128
120,256,MC + ODIS,0.0019035334346892145,0.0023108196258544923,128
120,256,Plain RQMC,0.018241352515408586,0.015822486877441408,128
120,256,RQMC + ODIS,0.0017806967280012225,0.017044515609741212,128
120,256,Pre-Int (AS),2.693421195838382e-05,0.15247589111328125,128
120,256,Pre-Int (AS) + ODIS,2.5756145123228625e-05,0.15644208908081056,128
120,512,Crude MC,0.012984333938650613,0.003837094306945801,128
120,512,MC + ODIS,0.0014697493923698272,0.003913784027099609,128
120,512,Plain RQMC,0.012792087632078427,0.018714027404785158,128
120,512,RQMC + ODIS,0.0009501831512729031,0.019868717193603516,128
120,512,Pre-Int (AS),1.365003727423582e-05,0.26669648647308347,128
120,512,Pre-Int (AS) + ODIS,1.2737356914199827e-05,0.2688382339477539,128
120,1024,Crude MC,0.013098839672109975,0.010304198265075684,128
120,1024,MC + ODIS,0.0008919792106077038,0.012168784141540528,128
120,1024,Plain RQMC,0.010285982486250067,0.0304318904876709,128
120,1024,RQMC + ODIS,0.0007008694720015117,0.03198150157928467,128
120,1024,Pre-Int (AS),7.87232982250001e-06,0.4574923276901245,128
120,1024,Pre-Int (AS) + ODIS,7.634999200528092e-06,0.46450760364532473,128
120,2048,Crude MC,0.007364659133579869,0.017641444206237793,128
120,2048,MC + ODIS,0.0006386565058017228,0.020659565925598145,128
120,2048,Plain RQMC,0.007057589566245134,0.04646440505981445,128
120,2048,RQMC + ODIS,0.0005032523916698624,0.048543267250061035,128
120,2048,Pre-Int (AS),3.773322908583941e-06,0.8344922542572022,128
120,2048,Pre-Int (AS) + ODIS,3.2690008063106672e-06,0.8819284582138062,128
120,4096,Crude MC,0.006120670572918288,0.03942417621612549,128
120,4096,MC + ODIS,0.0005090064300602941,0.04590083599090576,128
120,4096,Plain RQMC,0.0035743382219429872,0.07950949192047119,128
120,4096,RQMC + ODIS,0.0004137633282471419,0.08522124767303467,128
120,4096,Pre-Int (AS),1.6377423978273042e-06,1.6126980113983154,128
120,4096,Pre-Int (AS) + ODIS,1.8047811008645023e-06,1.9808186626434325,128
120,8192,Crude MC,0.00394637120921726,0.06048052310943604,128
120,8192,MC + ODIS,0.00035135541768873015,0.07394364833831787,128
120,8192,Plain RQMC,0.0031102059149846818,0.14680968284606932,128
120,8192,RQMC + ODIS,0.0002574213535992463,0.15252352714538575,128
120,8192,Pre-Int (AS),9.450334546679904e-07,3.016325387954712,128
120,8192,Pre-Int (AS) + ODIS,1.0788771390663739e-06,3.0688140058517455,128
