K,N,Method,RMSE,Time,d
100,128,Crude MC,0.030882691027498584,0.00043365478515625,64
100,128,Plain RQMC,0.01974728270696121,0.006514158248901367,64
100,128,Pre-Int (z1),0.016641676257259385,0.048388733863830566,64
100,128,Pre-Int (AS),0.0001350867900094056,0.05063765048980713,64
100,256,Crude MC,0.022157581574000777,0.0008520841598510742,64
100,256,Plain RQMC,0.014412492672757128,0.006858839988708496,64
100,256,Pre-Int (z1),0.009274200950418036,0.08578906536102295,64
100,256,Pre-Int (AS),6.414438059013089e-05,0.10214590549468994,64
100,512,Crude MC,0.017781952012401285,0.0017534017562866211,64
100,512,Plain RQMC,0.008700017644029825,0.007862176895141602,64
100,512,Pre-Int (z1),0.006407782477631078,0.1803387451171875,64
100,512,Pre-Int (AS),2.712226404896277e-05,0.19290082931518554,64
100,1024,Crude MC,0.01275855270325472,0.0036522626876831056,64
100,1024,Plain RQMC,0.006829225370941383,0.012124619483947753,64
100,1024,Pre-Int (z1),0.0050781562362209945,0.28945237159729004,64
100,1024,Pre-Int (AS),1.4515609220607656e-05,0.3261449098587036,64
100,2048,Crude MC,0.008213400583698542,0.007342624664306641,64
100,2048,Plain RQMC,0.005265122116433702,0.018567790985107423,64
100,2048,Pre-Int (z1),0.002974704060856494,0.519981951713562,64
100,2048,Pre-Int (AS),1.0263698311678605e-05,0.5737115526199341,64
100,4096,Crude MC,0.005438628298103819,0.015074324607849122,64
100,4096,Plain RQMC,0.0033451918865377516,0.032147455215454104,64
100,4096,Pre-Int (z1),0.002181564210373638,0.9793068313598633,64
100,4096,Pre-Int (AS),3.4440311019396255e-06,1.0449272060394288,64
100,8192,Crude MC,0.0037249862532449745,0.026435904502868653,64
100,8192,Plain RQMC,0.0023856089209367674,0.05588814258575439,64
100,8192,Pre-Int (z1),0.0018141517112159457,1.9046509647369385,64
100,8192,Pre-Int (AS),2.191565160595625e-06,2.1195922040939332,64
120,128,Crude MC,0.009187020178141651,0.00048640251159667966,64
120,128,MC + ODIS,0.001551224258046269,0.00039556980133056643,64
120,128,Plain RQMC,0.008247245533851021,0.0054030466079711915,64
120,128,RQMC + ODIS,0.0015805244480405708,0.004781208038330078,64
120,128,Pre-Int (AS),1.670422741297739e-05,0.04267114639282227,64
120,128,Pre-Int (AS) + ODIS,1.9804644400227635e-05,0.045632147789001466,64
120,256,Crude MC,0.004893828696839051,0.0006744003295898437,64
120,256,MC + ODIS,0.0010215580329424742,0.000966963768005371,64
120,256,Plain RQMC,0.0065094844650670424,0.005165472030639649,64
120,256,RQMC + ODIS,0.0012529409435474998,0.005183897018432617,64
120,256,Pre-Int (AS),7.86642537468626e-06,0.0771821403503418,64
120,256,Pre-Int (AS) + ODIS,6.566737037175509e-06,0.0833067226409912,64
120,512,Crude MC,0.004441875309076957,0.0017608833312988282,64
120,512,MC + ODIS,0.0008283395486125302,0.002118663787841797,64
120,512,Plain RQMC,0.0037837904495441003,0.008129382133483886,64
120,512,RQMC + ODIS,0.0007927919220155226,0.007386741638183594,64
120,512,Pre-Int (AS),4.144105622699728e-06,0.1495253849029541,64
120,512,Pre-Int (AS) + ODIS,4.588922702915638e-06,0.16103189468383788,64
120,1024,Crude MC,0.0034480563986203795,0.0027617502212524416,64
120,1024,MC + ODIS,0.0005534403631158886,0.003697795867919922,64
120,1024,Plain RQMC,0.00261744976955963,0.00904618263244629,64
120,1024,RQMC + ODIS,0.0005775383941875844,0.009795675277709961,64
120,1024,Pre-Int (AS),2.1125963457808294e-06,0.2829756498336792,64
120,1024,Pre-Int (AS) + ODIS,1.6782639939335042e-06,0.28454687118530275,64
120,2048,Crude MC,0.002934888856940158,0.006764378547668457,64
120,2048,MC + ODIS,0.00041490196493577193,0.008232593536376953,64
120,2048,Plain RQMC,0.0018712455380221868,0.01729893684387207,64
120,2048,RQMC + ODIS,0.0003281724499113895,0.021652584075927735,64
120,2048,Pre-Int (AS),1.1268506275462015e-06,0.5383242988586425,64
120,2048,Pre-Int (AS) + ODIS,8.573536513217153e-07,0.5274206733703614,64
120,4096,Crude MC,0.0015190738792089536,0.014454922676086425,64
120,4096,MC + ODIS,0.000306763911463048,0.01683340549468994,64
120,4096,Plain RQMC,0.0013654952316074036,0.030248489379882813,64
120,4096,RQMC + ODIS,0.0002442257419853181,0.029287548065185548,64
120,4096,Pre-Int (AS),5.206287528039303e-07,1.018440499305725,64
120,4096,Pre-Int (AS) + ODIS,3.7975392855462717e-07,1.0302748107910156,64
120,8192,Crude MC,0.001126501411564873,0.026601085662841795,64
120,8192,MC + ODIS,0.00018556881854541962,0.030597891807556152,64
120,8192,Plain RQMC,0.0008563487986194603,0.05076766490936279,64
120,8192,RQMC + ODIS,0.00018573584080346886,0.06006357669830322,64
120,8192,Pre-Int (AS),3.149703367222592e-07,2.030198574066162,64
120,8192,Pre-Int (AS) + ODIS,2.2307671085419926e-07,2.0137937927246092,64
